Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2020-0893;Queja;Contestado;2020-12-02;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado se queja del fime de la carretera de Villacastín
2020-0892;Queja;Contestado;2020-12-02;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;----
2020-0894;Queja;Contestado;2020-12-02;ESCRITO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Cobro por el servicio telefónico 012
2020-0895;Queja;Contestado;2020-12-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;DESACUERDO CON NORMAS ACCESO A LAS INSTALACIONES
2020-0888;Sugerencia;Contestado;2020-12-01;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Estado de la carretera BU-553
2020-0885;Queja;Contestado;2020-12-01;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;VALLA METÁLICA DISTORSIONA PUENTE MUDÉJAR
2020-0887;Sugerencia;Contestado;2020-12-01;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Estado de la carretera BU-555
2020-0886;Queja;Contestado;2020-12-01;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;ESPACIO CYL DIGITAL DE VALLADOLID
2020-0884;Sugerencia;Contestado;2020-11-30;WEB;CONSEJERIA DE SANIDAD;AVILA;Movimiento Perimetral por el covid en provincias
2020-0882;Queja;Anulada;2020-11-30;WEB;CONSEJERIA DE SANIDAD;VALLADOLID;
2020-0883;Queja;Prestacional;2020-11-30;WEB;GERENCIA REGIONAL DE SALUD;PALENCIA;Citación en Oftalmología
2020-0879;Queja;Contestado;2020-11-29;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;bolsa cuerpo superior
2020-0880;Queja;Contestado;2020-11-29;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;bolsa gestión
2020-0881;Queja;Contestado;2020-11-29;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;caza y actividad deportiva en Linares de Riofrío
2020-0878;Queja;Anulada;2020-11-29;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;
2020-0877;Sugerencia;Contestado;2020-11-28;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Implantación en pueblos sistema recogida residuos
2020-0876;Queja;Contestado;2020-11-28;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;cableado fachada desnaturaliza esta
2020-0875;Queja;Anulada;2020-11-28;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;anulada por ser igual a la Q
2020-0873;Queja;Contestado;2020-11-27;WEB;GERENCIA REGIONAL DE SALUD;VALLADOLID;MAL SERVICIO URGENCIAS CLÍNICO
2020-0874;Queja;Remitido a Cons/DT;2020-11-27;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;
2020-0870;Queja;Contestado;2020-11-25;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;convocatoria de ayudas universiatarias complementarias
2020-0871;Queja;Contestado;2020-11-25;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;convocatoria de ayudas complementarias estudiantes universitarios
2020-0872;Sugerencia;Contestado;2020-11-25;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Facilitar el poder rellenar los impresos
2020-0866;Queja;Contestado;2020-11-24;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Pérdida por parte de la Admón. de solicitud de ayuda y falta de contestación a alegaciones.
2020-0867;Queja;Remitido a Cons/DT;2020-11-24;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;ZAMORA;
2020-0869;Sugerencia;Contestado;2020-11-24;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;NOTIFICACIONES EN BUZÓN ELECTRÓNICO
2020-0864;Queja;Anulada;2020-11-24;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Anulada por falta de contenido
2020-0865;Queja;Contestado;2020-11-24;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;oposiciones agentes medioambientales
2020-0868;Sugerencia;Contestado;2020-11-24;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Sugerencia que tanto la entidad colaboradora como el interesado puedan modificar expedientes
2020-0862;Queja;Contestado;2020-11-23;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;Queja por el trato recibido por parte de un guarda de Medio Ambiente
2020-0863;Queja;Contestado;2020-11-23;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;quema de rastrojos
2020-0861;Queja;Remitido Órgano;2020-11-22;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Falta de personal en registro e imposibilidad de presentar queja el día de los hechos
2020-0860;Queja;Prestacional;2020-11-22;WEB;CONSEJERIA DE SANIDAD;PALENCIA;
2020-0856;Queja;Contestado;2020-11-21;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Hacer PCR
2020-0857;Queja;Contestado;2020-11-21;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;USUARIOS RESERVAN Y NO VAN
2020-0855;Queja;Contestado;2020-11-21;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;bolsa auxiliar
2020-0858;Queja;Remitido Órgano;2020-11-21;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;Obra parada de autobús
2020-0859;Sugerencia;Contestado;2020-11-21;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Clases presencial en las universidades con motivo del COVID19
2020-0854;Queja;Contestado;2020-11-20;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;RECONOCIMIENTO GRADO DISCAPACIDAD
2020-0853;Queja;Remitido Órgano;2020-11-19;WEB;GERENCIA DE SERVICIOS SOCIALES;AVILA;Tardanza escesiva en el tramite de Reconocimiento de Discapacidad
2020-0852;Queja;Contestado;2020-11-19;LIBRO;CONSEJERIA DE EDUCACION;ZAMORA;NO PUEDO SUBIR A HABLAR CON EL PERSONAL
2020-0845;Queja;Contestado;2020-11-18;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;El interesado se qujeja sobre el sistema para solicitar hora para un puesto en la sala de estudio
2020-0846;Queja;Remitido a Cons/DT;2020-11-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2020-0851;Sugerencia;Contestado;2020-11-18;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;----
2020-0849;Sugerencia;Anulada;2020-11-18;ESCRITO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;ANULADA POR SER IGUAL A LA QUEJA
2020-0847;Queja;Remitido Órgano;2020-11-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;CAÑADAS INVADIDAS AGRICULTORES
2020-0848;Queja;Remitido Órgano;2020-11-18;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;listas dinámicas de recursos humanos
2020-0850;Sugerencia;Contestado;2020-11-18;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;MEJORA EN VISUALIZACIÓN DE LA FECHA DEL BOCYL
2020-0844;Queja;Contestado;2020-11-17;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Insta a que se obligue a las entidades colaboradoras a liquidar el pago impuestos a todas las personas y a cualquier hora en horario de oficina o, en su defecto, cobro en metálico
2020-0843;Queja;Contestado;2020-11-17;LIBRO;CONSEJERIA DE EMPLEO E INDUSTRIA;ZAMORA;NO ME ATIENDEN EN EL TELÉFONO DE CONSUMO
2020-0837;Queja;Contestado;2020-11-16;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;-----
2020-0839;Queja;Contestado;2020-11-16;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Transporte ambulancia desde Residencia 3ª edad no cubierto por Sanidad Pública
2020-0840;Queja;Contestado;2020-11-16;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;negativa entrada biblioteca
2020-0841;Queja;Inadmitida;2020-11-16;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;
2020-0835;Queja;Contestado;2020-11-16;LIBRO;CONSEJERIA DE EDUCACION;ZAMORA;LOS NIÑOS LLEVAN DESDE EL INICIO DE CURSO SIN CALEFACCIÓN
2020-0836;Queja;Contestado;2020-11-16;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;hostelería
2020-0838;Queja;Contestado;2020-11-16;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Curso a distancia de Desarrollo de Aplicaciones Multiplataformas
2020-0834;Queja;Contestado;2020-11-16;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Funcionamiento Buzón electrónico
2020-0842;Queja;Remitido Órgano;2020-11-16;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;gestión de interinadades en educación secundaria
2020-0833;Queja;Anulada;2020-11-15;WEB;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;Se anula por ser igual a la queja nº
2020-0831;Queja;Contestado;2020-11-14;WEB;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;----
2020-0832;Queja;Prestacional;2020-11-14;WEB;CONSEJERIA DE SANIDAD;PALENCIA;
2020-0828;Queja;Contestado;2020-11-13;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;Se ha anulado por ser sustancialmente idéntica a otras anteriores
2020-0830;Sugerencia;Contestado;2020-11-13;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;AMPLIACION HORARIO REGISTRO
2020-0824;Queja;Contestado;2020-11-13;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;implantación de la jornada continua con motivo del COVID19
2020-0826;Queja;Contestado;2020-11-13;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;QUE LAS MUJERES EMBARAZADAS TENGAN PREFERENCIA
2020-0827;Queja;Contestado;2020-11-13;WEB;GERENCIA REGIONAL DE SALUD;SALAMANCA;retraso para intervencion quirurgica de oftalmología
2020-0829;Sugerencia;Contestado;2020-11-13;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;NOTIFICACIONES BUZÓN ELECTRÓNICO
2020-0825;Queja;Contestado;2020-11-13;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;FORMULÉ LA S- RELATIVA A LA IMPLANTACIÓN OBLIGATORIA DE LA JORNADA CONTINUA, NA HABIENDO RECIBIDO RESPUESTA
2020-0823;Queja;Remitido Órgano;2020-11-12;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;AVILA;Comunicar errores en la cita para ser atendidos en la Gerencia de Servicios Sociales en relacion con el REGISTRO DE PAREJAS DE HECHO DE ÁVILA.
2020-0820;Queja;Anulada;2020-11-11;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;ERROR COLOCAR SEÑAL
2020-0822;Queja;Remitido Órgano;2020-11-11;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;AVILA;Respuesta a solicitud presentada en relacion con el proyecto de investigacion minera RIO FRIO nº 1.146
2020-0821;Queja;Contestado;2020-11-11;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Información incorrecta trámite impuesto donaciones
2020-0819;Queja;Prestacional;2020-11-10;ESCRITO;GERENCIA REGIONAL DE SALUD;SORIA;queja sobre el centro de salud Soria Norte
2020-0817;Queja;Contestado;2020-11-10;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Señalización vertical (comienzo del pueblo) y horizontal (pintar paso cebra) en LE-420
2020-0818;Queja;Contestado;2020-11-10;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;FALTA DE RECURSOS HUMANOS
2020-0812;Queja;Anulada;2020-11-09;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;ESTÁ TRIPLICADA. SE TRAMITA LA PRIMERA: Q
2020-0811;Queja;Anulada;2020-11-09;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;ESTÁ TRIPLICADA. SE ESTÁ TRAMITANDO LA QUEJA: Q
2020-0813;Queja;Contestado;2020-11-09;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0814;Queja;Contestado;2020-11-09;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;El Registro de Asociaciones no puede emitir certificado electrónico.
2020-0815;Queja;Contestado;2020-11-09;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;BONO SOCIAL TÉRMICO
2020-0816;Sugerencia;Remitido Órgano;2020-11-09;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;adelanto del termino de los conciertos para tener mas margen de vuelta a casa
2020-0810;Queja;Contestado;2020-11-08;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;"Acceso al Colegio Público ""Ignacio Martín Barón"" de la ciudad de Valladolid, COVID19"
2020-0809;Queja;Contestado;2020-11-08;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;"Acceso al Colegio Público ""Ignacio Martín Barón"" de Valladolid COVID19"
2020-0808;Queja;Contestado;2020-11-08;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;"Acceso al Colegio Público ""Ignacio Martín Barón"" de Valladolid COVID19"
2020-0806;Queja;Anulada;2020-11-07;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;Se anula por ser igual a la queja Nº
2020-0807;Queja;Contestado;2020-11-07;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;CADUCIIDAD CERTIFICADO RITE
2020-0798;Queja;Contestado;2020-11-06;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;DESACUERDO CON LA NORMA DE HACER FILA CEIP I,MARTIN BARO
2020-0802;Queja;Inadmitida;2020-11-06;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Queja sobre una Potabilizadora.
2020-0804;Sugerencia;Anulada;2020-11-06;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;--
2020-0795;Queja;Anulada;2020-11-06;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2020-0799;Queja;Contestado;2020-11-06;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Tramitación expedientePac 47-2-388 no  contestación alegaciones
2020-0801;Queja;Inadmitida;2020-11-06;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;deporte escolar
2020-0796;Queja;Anulada;2020-11-06;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;VALLADOLID;
2020-0797;Queja;Anulada;2020-11-06;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;VALLADOLID;REPETIDA SE TRAMTA LA
2020-0800;Queja;Contestado;2020-11-06;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;PLAZA RESIDENCIA MAYORES
2020-0803;Queja;Prestacional;2020-11-06;WEB;CONSEJERIA DE SANIDAD;SORIA;
2020-0805;Sugerencia;Contestado;2020-11-06;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SEGOVIA;El interesado desea saber qué servicios puede prestar un área de servicio en la Autovía A1 por las restricciones por Covid-19
2020-0791;Queja;Contestado;2020-11-05;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;convalidad de materia en bachillerato
2020-0794;Sugerencia;Contestado;2020-11-05;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Cierrre de los centros educativos con motivo de la crisis sanitiara por COVID19
2020-0792;Queja;Contestado;2020-11-05;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;convalidación de asignaturas en bachillerato
2020-0793;Queja;Contestado;2020-11-05;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Referencia haber hecho cola y a las 14.30 cierra registro y solicita se le ponga fecha de registro de entrada de ese día
2020-0788;Queja;Contestado;2020-11-04;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Falta de personal registro P.I.A.C. Ponferrada
2020-0784;Queja;Contestado;2020-11-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;CARRIL BICI ANEXO A LA CL 620 T.M. DE VALLADOLID
2020-0786;Queja;Contestado;2020-11-04;WEB;SERVICIO PUBLICO DE EMPLEO;SALAMANCA;Trato inadecuado en la oficina de empleo
2020-0785;Queja;Contestado;2020-11-04;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;desacuerdo con la actuación
2020-0787;Queja;Contestado;2020-11-04;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por la implantación del sistema decita previa
2020-0789;Queja;Remitido a Cons/DT;2020-11-04;Servicio 012;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;
2020-0790;Sugerencia;Contestado;2020-11-04;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;confinamiento de clases ante brotes de covid19
2020-0777;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0778;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0781;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Dificultades accesibilidad rotonda km. 80 de la CL-626
2020-0782;Queja;Inadmitida;2020-11-03;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2020-0783;Queja;Prestacional;2020-11-03;WEB;CONSEJERIA DE SANIDAD;PALENCIA;
2020-0770;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0771;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0775;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0776;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0779;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0772;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0773;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0774;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0780;Queja;Contestado;2020-11-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0765;Queja;Contestado;2020-11-02;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;Validez certificados RITE
2020-0767;Queja;Contestado;2020-11-02;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0769;Sugerencia;Remitido a Cons/DT;2020-11-02;WEB;CONSEJERIA DE LA PRESIDENCIA;PALENCIA;
2020-0766;Queja;Contestado;2020-11-02;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0764;Queja;Anulada;2020-11-02;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2020-0768;Queja;Contestado;2020-11-02;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Asunto AMPA
2020-0763;Queja;Contestado;2020-10-30;WEB;GERENCIA REGIONAL DE SALUD;VALLADOLID;PROBLEMAS CON LAS PCR
2020-0759;Queja;Contestado;2020-10-29;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Desacuerdo con solicitud cita previa
2020-0760;Queja;Contestado;2020-10-29;WEB;CONSEJERIA DE EDUCACION;BURGOS;Actuación del director del colegio Blanca de Castilla ante protocolos COVID-19
2020-0761;Queja;Contestado;2020-10-29;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;BURGOS;Falta de personal en la ventanilla de Medina de Pomar
2020-0762;Queja;Remitido Órgano;2020-10-29;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;"sustitución de personal docente en el IES ""Vega de Prado"" de Valladolid"
2020-0758;Queja;Contestado;2020-10-28;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0757;Sugerencia;Contestado;2020-10-27;WEB;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Visita a familiares en residencias
2020-0756;Queja;Inadmitida;2020-10-27;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2020-0753;Queja;Contestado;2020-10-26;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;ZAMORA;NO HA SIDO POSIBLE REALIZAR MI TRÁMITE
2020-0755;Sugerencia;Anulada;2020-10-26;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0754;Queja;Remitido Órgano;2020-10-26;LIBRO;CONSEJERIA DE SANIDAD;LEÓN;Atención telefónica
2020-0752;Queja;Contestado;2020-10-24;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;presentación documentación proceso selectivo oposiciones Secundaria
2020-0751;Sugerencia;Contestado;2020-10-22;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Mejora en notificaciones por comparecencia
2020-0750;Queja;Contestado;2020-10-22;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;GESTIÓN DE TRÁMITES ELECTRÓNICOS CYL
2020-0749;Queja;Contestado;2020-10-22;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;"Sevicio de Madrugadores en el CP ""Los Vadillos"" de la ciudad de Burgos"
2020-0746;Queja;Contestado;2020-10-21;ESCRITO;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;registro
2020-0744;Queja;Anulada;2020-10-21;WEB;GERENCIA REGIONAL DE SALUD;SALAMANCA;mala organizacion en centro de salud de Filiberto Villaloboos
2020-0745;Queja;Contestado;2020-10-21;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;VOLUMEN MATERIAL EN MOCHILA
2020-0747;Queja;Remitido Órgano;2020-10-21;WEB;GERENCIA REGIONAL DE SALUD;SALAMANCA;mala organizacion en centro de salud de Filiberto Villaloboos
2020-0748;Sugerencia;Remitido Órgano;2020-10-21;WEB;GERENCIA REGIONAL DE SALUD;SALAMANCA;desacuerdo con organizacion en centro de salud
2020-0742;Queja;Contestado;2020-10-20;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;BURGOS;Mal estado de vía pública
2020-0743;Sugerencia;Contestado;2020-10-20;WEB;CONSEJERIA DE SANIDAD;SALAMANCA;sugerencia respecto a confinamiento
2020-0741;Queja;Anulada;2020-10-20;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;ILEGIBLE
2020-0740;Sugerencia;Remitido Órgano;2020-10-19;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Que la Junta tenga una cuenta para hacer transferencias
2020-0738;Queja;Contestado;2020-10-19;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Mala atención casa parque Valdeburón (Lario)
2020-0739;Queja;Remitido Órgano;2020-10-19;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;trámites electrónicos de recursos humanos
2020-0737;Queja;Contestado;2020-10-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;MAL ESTADO CARRIL BICI COVARESA-PUENTE DUERO
2020-0734;Queja;Contestado;2020-10-17;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;DESACUERDO CON TEMPERATURA CALEFACCIÓN
2020-0736;Queja;Contestado;2020-10-17;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;FUNCIONARIO INSTA A USAR EL GEL MANOS CON MALAS FORMAS
2020-0735;Queja;Contestado;2020-10-17;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;SISTEMA LE INDICA QUE TIENE SUSPENDIDO EL CARNET
2020-0733;Queja;Contestado;2020-10-17;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;bolsa gestión
2020-0732;Queja;Prestacional;2020-10-16;WEB;CONSEJERIA DE SANIDAD;PALENCIA;
2020-0731;Queja;Contestado;2020-10-16;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;LEÓN;Tramitación solicitudes subvención autónomos por reincorporación
2020-0721;Queja;Anulada;2020-10-15;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Se anula por ser igual que Q
2020-0722;Queja;Anulada;2020-10-15;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;ANULADA POR SER PRUEBA
2020-0725;Queja;Contestado;2020-10-15;LIBRO;CONSEJERIA DE EMPLEO E INDUSTRIA;LEÓN;ITV ONZONILLA
2020-0726;Queja;Contestado;2020-10-15;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0729;Queja;Inadmitida;2020-10-15;WEB;CONSEJERIA DE SANIDAD;LEÓN;
2020-0730;Queja;Remitido Órgano;2020-10-15;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;AUTOBUS REPLETO EN PANDEMIA
2020-0723;Queja;Contestado;2020-10-15;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;campaña gripe
2020-0724;Queja;Contestado;2020-10-15;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;tramitación electrónica de las bolsas dinámicas en profesorado
2020-0727;Queja;Contestado;2020-10-15;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;tramitación electrónica de bolsas dinámicas profesorado
